"행정구역(시군구)별","성별","연령별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","여자","70 - 74세","주민등록연앙인구[명]","명","422466","442874","456718","470521","482388.5","497256.5","523221","554518.5","581841","608795","634318.5","663214","700958","743057","780545.5","815544.5","853151.5","879612","904168","954288","993280","995690","985362","970836","962183.5","979291.5","1018481","1066429","1104706.5",
"전국","여자","75 - 79세","주민등록연앙인구[명]","명","283227.5","289413.5","298150","308933","325032.5","348922","367187.5","380288","393569.5","405801","421091.5","446312","477234","504963","532591","559987.5","590846.5","629123","670764.5","707929","742665","780298.5","807786.5","833242.5","883115.5","922440.5","927400.5","920548","909528",
"전국","여자","80세 이상","주민등록연앙인구[명]","명","273116.5","285303","295321","307508","322558.5","335544.5","345698","357163","373197.5","395396.5","422354","444621.5","465660","490340","520172","558050","600616.5","645895","690044","736692","788383.5","846935.5","913631","981866.5","1049213.5","1116849","1192076","1267931","1343569.5",
"전국","여자","80 - 84세","주민등록연앙인구[명]","명","","","","187693.5","195405.5","201715","206545.5","213472.5","223054.5","237077.5","256974","272637.5","284698.5","297568","311062","328531","353689","382956.5","409231","435161.5","461035","490218","526430","565332.5","600375.5","633407.5","669394.5","697532","723885.5",
"전국","여자","85세 이상","주민등록연앙인구[명]","명","","","","119814.5","127153","133829.5","139152.5","143690.5","150143","158319","165380","171984","180961.5","192772","209110","229519","246927.5","262938.5","280813","301530.5","327348.5","356717.5","387201","416534","448838","483441.5","522681.5","570399","619684",
"전국","여자","85 - 89세","주민등록연앙인구[명]","명","","","","","","","","102497.5","106905.5","112378","116731","120530.5","126696.5","135042","146855.5","163009.5","176069.5","186650","197642.5","209337.5","224409","244957","268059","288697","309791.5","330960","355210.5","386196.5","419029",
"전국","여자","90 - 94세","주민등록연앙인구[명]","명","","","","","","","","32551","34459","36854.5","39088.5","41343.5","43568","46276","49761","52925.5","56106.5","60401","65919.5","73321","82692.5","90032","95545","101758.5","109567.5","119224.5","131582.5","145942","159253.5",
"전국","여자","95 - 99세","주민등록연앙인구[명]","명","","","","","","","","6604","6724","7093","7697.5","8337.5","8949.5","9684","10639","11585","12592.5","13634.5","14873","16262","17381","18578","20146.5","22314.5","25429","29012.5","31397.5","33317.5","35840",
"전국","여자","100세 이상","주민등록연앙인구[명]","명","","","","","","","","2038","2054.5","1993.5","1863","1772.5","1747.5","1770","1854.5","1999","2159","2253","2378","2610","2866","3150.5","3450.5","3764","4050","4244.5","4491","4943","5561.5",
"서울특별시","계","계","주민등록연앙인구[명]","명","10912364.5","10824476.5","10655162.5","10484473.5","10377105","10303320","10267383","10287787","10287325","10235315.5","10190690.5","10173624","10170253","10174255","10186938","10196768.5","10204564.5","10175959.5","10116242","10062309","10012711.5","9970992.5","9907155","9811038.5","9724400.5","9642857","9578974.5","9533412","9453878",
"서울특별시","계","0 - 4세","주민등록연앙인구[명]","명","787504","790104.5","778294.5","750722","717523.5","684417","653266.5","631197","606981.5","570918.5","536803","511612.5","482389","453688","442760","437811","429563.5","425121.5","424011.5","419954.5","412727","406364","398954","385053","363251.5","337202","312470","285507","257416.5",
"서울특별시","계","5 - 9세","주민등록연앙인구[명]","명","730879","693294","663892","648702","651589.5","654851","658793","665410","660333","643194.5","624152.5","604193.5","586372","566568.5","538010","509137","484752","453092.5","423001.5","410476.5","403817.5","394256","388946.5","386403.5","380731.5","371313.5","363167.5","356875.5","345579",
"서울특별시","계","10 - 14세","주민등록연앙인구[명]","명","974891","932684.5","861822","791382","725670.5","673082.5","642678.5","628820.5","626822.5","636614.5","646952.5","655309","661779.5","657692","643000","624411.5","603116","582039","558517","526714","495011.5","468166","435836","405306","391825.5","384218","374188","369850.5","368547",
"서울특별시","계","15 - 19세","주민등록연앙인구[명]","명","960842","926538","915315.5","914662","913085","906769","876646.5","824109.5","768052","711117","667904.5","645145.5","634565","634324.5","645271","655571","663580","668543.5","661253","642806","621096","597427","574956","550275.5","518232","486575.5","459374.5","427350","397353.5",
"서울특별시","계","20 - 24세","주민등록연앙인구[명]","명","1201646","1173824.5","1120988","1055207.5","998608.5","949360.5","919763.5","921977","929933","931200","927041","898899","849113.5","799909","750070","708240.5","683555.5","668527.5","663688.5","673018.5","683039","691689","698126.5","692438.5","677754.5","662001","645905","631877.5","613102.5",
"서울특별시","계","25 - 29세","주민등록연앙인구[명]","명","1176752.5","1188686","1185737","1188714","1197178.5","1188751.5","1170425.5","1145988","1103615.5","1056376","1012848","983101","978564.5","986617","997249","1005719.5","987836","938445","882389.5","826461","781950.5","758264.5","745118","742129.5","756265","775678","796730.5","816546","819668.5",
"서울특별시","계","30 - 34세","주민등록연앙인구[명]","명","1145515.5","1113834","1063702","1004733","967268.5","963387.5","978960","1003374.5","1038046.5","1062366.5","1066284.5","1059545","1039497","1004342","968920","934781","915293","916467.5","923813","931988","936221.5","917302","872577.5","822248","773662.5","737480","721278","719526","725415",
"서울특별시","계","35 - 39세","주민등록연앙인구[명]","명","978447.5","996806.5","996358","991280","983750.5","960404.5","934477","911285.5","883309","862435.5","866654.5","884473","904030.5","935250","964047.5","972701.5","967670.5","943367","901478.5","861998.5","825453.5","802232","800102.5","803742.5","807972","808602.5","790734","756788","718262.5",
"서울특별시","계","40 - 44세","주민등록연앙인구[명]","명","737962","742804","768648.5","811556","841872","862484","888478.5","908303.5","923126","927059","913775","894394.5","871351","844490.5","827790.5","834711.5","853357.5","868106","888509","905163.5","903648.5","890691.5","862892","820610","780991","743259","717153","714459","718342",
